horodatage,temps_s,AIN0,AIN1,AIN2,AIN3
2026-06-16 11:07:01.696038,0.282,8.479506,2.503009,3.001993,1.413342
2026-06-16 11:07:02.207066,0.793,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:02.701320,1.288,8.479506,2.508188,3.001993,1.413342
2026-06-16 11:07:03.216102,1.802,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:03.722552,2.309,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:04.222398,2.809,8.474323,2.508188,3.001993,1.413342
2026-06-16 11:07:04.731997,3.318,8.479506,2.508188,3.007174,1.413342
2026-06-16 11:07:05.244841,3.831,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:05.734690,4.321,8.479506,2.503009,3.007174,1.418524
2026-06-16 11:07:06.233543,4.820,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:06.730347,5.317,8.479506,2.503009,3.001993,1.413342
2026-06-16 11:07:07.235300,5.822,8.474323,2.503009,3.007174,1.413342
2026-06-16 11:07:07.752994,6.339,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:08.260703,6.847,8.479506,2.503009,3.007174,1.418524
2026-06-16 11:07:08.774750,7.361,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:09.275132,7.861,8.479506,2.503009,3.001993,1.413342
2026-06-16 11:07:09.785992,8.372,8.479506,2.503009,3.007174,1.418524
2026-06-16 11:07:10.285138,8.871,8.479506,2.503009,3.007174,1.418524
2026-06-16 11:07:10.786897,9.373,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:11.293190,9.879,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:11.798420,10.385,8.479506,2.503009,3.001993,1.413342
2026-06-16 11:07:12.316949,10.903,8.479506,2.503009,3.007174,1.418524
2026-06-16 11:07:12.830467,11.417,8.479506,2.503009,3.007174,1.418524
2026-06-16 11:07:13.338396,11.925,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:13.843291,12.430,8.479506,2.508188,3.007174,1.413342
2026-06-16 11:07:14.343938,12.930,8.479506,2.503009,3.007174,1.413342
2026-06-16 11:07:14.846482,13.433,8.474323,2.503009,3.007174,1.413342
2026-06-16 11:07:15.348792,13.935,8.479506,2.508188,3.007174,1.413342
2026-06-16 11:07:15.860292,14.447,8.479506,2.503009,3.001993,1.418524
2026-06-16 11:07:16.376188,14.962,8.479506,2.508188,3.001993,1.413342
2026-06-16 11:07:17.098194,15.684,8.479506,2.503009,3.001993,1.413342
